index ,level ,character ,pinyin
 7.79 ,一级  ,的        ,de
 7.79 ,四级  ,的        ,dí
 7.79 ,二级  ,的        ,dì
 7.17 ,一级  ,是        ,shì
 7.16 ,一级  ,在        ,zài
 7.14 ,三级  ,了        ,liǎo
 7.14 ,一级  ,了        ,le
 6.95 ,一级  ,我        ,wǒ
 6.86 ,一级  ,和        ,hé
 6.86 ,三级  ,和        ,huó
 6.86 ,高等  ,和        ,hè
 6.83 ,一级  ,有        ,yǒu
 6.76 ,一级  ,不        ,bù
 6.74 ,一级  ,人        ,rén
 6.7  ,一级  ,你        ,nǐ
 6.7  ,一级  ,也        ,yě
 6.69 ,二级  ,为        ,wéi
 6.69 ,二级  ,为        ,wèi
 6.68 ,一级  ,他        ,tā
 6.68 ,一级  ,这        ,zhè
 6.65 ,四级  ,中        ,zhòng
 6.65 ,一级  ,中        ,zhōng
 6.64 ,一级  ,年        ,nián
 6.64 ,四级  ,与        ,yǔ
 6.63 ,一级  ,对        ,duì
 6.6  ,一级  ,就        ,jiù
 6.59 ,一级  ,都        ,dōu
 6.59 ,三级  ,都        ,dū
 6.55 ,一级  ,说        ,shuō
 6.55 ,一级  ,上        ,shàng
 6.53 ,一级  ,吗        ,ma
 6.48 ,一级  ,到        ,dào
 6.48 ,四级  ,会        ,kuài
 6.48 ,一级  ,会        ,huì
 6.46 ,二级  ,要        ,yāo
 6.46 ,一级  ,要        ,yào
 6.45 ,一级  ,来        ,lái
 6.44 ,一级  ,月        ,yuè
 6.42 ,三级  ,被        ,bèi
 6.38 ,一级  ,还        ,huán
 6.38 ,一级  ,还        ,hái
 6.36 ,二级  ,而        ,ér
 6.35 ,一级  ,个        ,gè
 6.33 ,一级  ,后        ,hòu
 6.33 ,一级  ,等        ,děng
 6.32 ,二级  ,但        ,dàn
 6.31 ,二级  ,于        ,yú
 6.3  ,一级  ,日        ,rì
 6.29 ,三级  ,将        ,jiāng
 6.29 ,三级  ,并        ,bìng
 6.29 ,一级  ,能        ,néng
 6.29 ,高等  ,将        ,jiàng
 6.27 ,一级  ,一        ,yī
 6.27 ,一级  ,很        ,hěn
 6.26 ,二级  ,让        ,ràng
 6.25 ,一级  ,从        ,cóng
 6.24 ,二级  ,以        ,yǐ
 6.24 ,一级  ,好        ,hào
 6.24 ,一级  ,好        ,hǎo
 6.23 ,一级  ,大        ,dà
 6.23 ,三级  ,大        ,dài
 6.23 ,一级  ,她        ,tā
 6.22 ,高等  ,着        ,zhuó
 6.22 ,四级  ,着        ,zháo
 6.22 ,一级  ,着        ,zhe
 6.21 ,一级  ,多        ,duō
 6.18 ,一级  ,给        ,gěi
 6.18 ,六级  ,给        ,jǐ
 6.18 ,一级  ,时        ,shí
 6.17 ,三级  ,把        ,bǎ
 6.16 ,一级  ,看        ,kàn
 6.16 ,六级  ,看        ,kān
 6.16 ,一级  ,去        ,qù
 6.14 ,二级  ,又        ,yòu
