Base Word,Guideword,Level,Part of Speech,Topic
cattle,,B1,,animals
clothes,,A1,,clothes
albeit,,C2,,
and,ALSO,A1,,communication
and,AFTER,A1,,communication
because,,A1,,communication
but,,A1,,communication
and,AFTER VERB,A2,,communication
as,BECAUSE,A2,,communication
although,BUT,B1,,communication
although,DESPITE,B1,,communication
and,EMPHASIZE,B1,,communication
close,,B1,,describing things
as,JOB,A1,,work
and,NUMBERS,A1,,
as,LIKE,A2,,
before,EARLIER,A2,,
after,,B1,,
as,BEING,B1,,
as,WHILE,B1,,
as,LIKE,B1,,
before,TO AVOID SOMETHING,B1,,
before,UNTIL,B1,,
but,EXPLAINING WHY,B1,,
couch,,A2,,homes and buildings
eight,,A1,,
eighteen,,A1,,
eleven,,A1,,
fifteen,,A1,,
eighth,,A2,,
eighty,,A2,,
fifth,,A2,,
insofar as,,C2,,
five,,A1,,
four,,A1,,
fourteen,,A1,,
fifty,,A2,,
forty,NUMBER,A2,,
fourth,,A2,,
hundred,,A2,,
if,DEPENDING,A2,,
if,ALWAYS,B1,,
if,MIGHT,B1,,
if,WHETHER,B1,,
if,WOULD/MIGHT/COULD HAVE,B2,,
however,,C2,,
million,,A2,,
like,,B1,,
or,POSSIBILITIES,A1,,communication
or,NOT EITHER,A2,,communication
or,WARNING,B1,,communication
or,CHANGE,B2,,communication
only,,C2,,communication
nine,,A1,,
nineteen,,A1,,
one,,A1,,
ninety,,A2,,
ninth,,A2,,
now,,B2,,
once,,B2,,
or,EXPLAIN,C2,,
seventy,,A2,,
provided (that),,B2,,communication
second,ANOTHER,B1,,describing things
politically,,C1,,
second,AFTER FIRST,A1,,
seven,,A1,,
seventeen,,A1,,
seventh,,A2,,
plus,,B1,,
second,"ONLY ONE BETTER/BIGGER, ETC.",B1,,
so,SENTENCE BEGINNING,A2,,communication
six,,A1,,
sixteen,,A1,,
ten,,A1,,
thirteen,,A1,,
three,,A1,,
to,INFINITIVE,A1,,
twelve,,A1,,
twenty,NUMBER,A1,,
two,NUMBER,A1,,
sixth,,A2,,
sixty,,A2,,
so,REASON,A2,,
that,INTRODUCE PART,A2,,
third,,A2,,
thirty,,A2,,
thousand,,A2,,
to,REASON,A2,,
to,INSTEAD OF VERB,A2,,
since,TIME,B1,,
since,BECAUSE,B1,,
though,DESPITE,B1,,
till,,B1,,
unless,,B1,,
until,TIME,B1,,
until,DIRECTIONS,B1,,
though,BUT,B2,,
zero,NUMBER,A2,,
while,COMPARING,B1,,communication
whereas,,B2,,communication
while,ALTHOUGH,B2,,communication
zero,TEMPERATURE,B1,,natural world
when,AT WHAT TIME,A2,,
where,POSITION,A2,,
while,DURING,A2,,
whenever,EVERY TIME,B1,,
wherever,EVERY PLACE,B1,,
whether,IF,B1,,
yet,,B1,,
when,ALTHOUGH,B2,,
where,PROCESS/ACTIVITY,B2,,
caution,,C2,verb,communication
advertisement,,A2,noun,arts and media
assert,,C1,verb,communication
address,SPEAK,C2,verb,communication
cash,MONEY,B1,noun,money
acquire,GET,B2,verb,people: actions
click,PEOPLE,C2,verb,relationships
bike,MOTORCYCLE,B1,noun,travel
clarification,,C1,noun,
acknowledge,SAY RECEIVED,C1,verb,
aid,,C1,verb,
applaud,PRAISE,C2,verb,
cease,,B2,verb,
carrot,REWARD,C2,noun,
character,PERSON,C2,noun,
ages,,B1,noun,
bunch,PEOPLE,B1,noun,
click,IDEA,C2,verb,
birth,BEGINNING,C1,noun,
approval,PERMISSION,B2,noun,communication
chemical,,B2,noun,natural world
appearance,IN PUBLIC,B2,noun,arts and media
assurance,PROMISE,C1,noun,communication
allowance,MONEY,C1,noun,money
assistance,,B2,noun,people: actions
appearance,WAY YOU LOOK,B1,noun,people: appearance
assurance,CONFIDENCE,C2,noun,people: personality
appearance,BECOMING AVAILABLE,B2,noun,shopping
assistant,,B1,noun,work
coherence,CLEAR,C2,noun,communication
bestseller,,B2,noun,arts and media
beginner,,A2,noun,people: personality
CD player,,A1,noun,technology
browser,,B2,noun,technology
backpacker,,B1,noun,travel
bumper,,B2,noun,travel
cleaner,PERSON,A2,noun,work
babysitter,,B1,noun,work
barber,,B1,noun,work
barber,,B1,noun,work
builder,,B1,noun,work
adviser,,C1,noun,work
classic,,B2,noun,arts and media
characteristic,,B2,noun,describing things
clothing,,B2,noun,clothes
catering,,B2,noun,food and drink
apartment building,,A2,noun,homes and buildings
central heating,,B1,noun,homes and buildings
banking,MONEY MANAGEMENT,A2,noun,money
boxing,,B1,noun,shopping
camping,,A2,noun,travel
backpacking,,B1,noun,travel
animation,,B1,noun,arts and media
allegation,,C1,noun,communication
addition,NUMBERS/AMOUNTS,B2,noun,describing things
admission,PERMISSION,B2,noun,education
admission,MONEY,B1,noun,money
action,ACTIVITY,B1,noun,people: actions
collection,TAKING AWAY,B2,noun,people: actions
action,DO,B2,noun,people: actions
calculation,,B2,noun,people: actions
admiration,,B2,noun,people: personality
ambition,STRONG FEELING,B2,noun,people: personality
appreciation,,B2,noun,people: personality
affection,,B2,noun,people: personality
attraction,FEELING,C2,noun,relationships
celebration,,B1,noun,relationships
adoption,,B2,noun,relationships
application,COMPUTER SOFTWARE,B2,noun,technology
capitalism,,C2,noun,politics
archaeologist,,C1,noun,work
clarity,,C2,noun,communication
capacity,AMOUNT,B2,noun,describing things
capacity,ABILITY,B2,noun,people: personality
capacity,JOB,C1,noun,work
activity,WORK,B2,noun,work
apologize,,B1,verb,communication
argument,DISAGREEMENT,B1,noun,communication
agreement,DECISION,B2,noun,communication
argument,REASON,B2,noun,communication
agreement,SAME OPINION,B2,noun,communication
arrangement,AGREEMENT,B2,noun,communication
achievement,,B1,noun,people: actions
adjustment,,B2,noun,people: actions
assessment,,B2,noun,people: actions
amazement,,B2,noun,people: personality
amusement,FEELING,B2,noun,people: personality
astonishment,,B2,noun,people: personality
attachment,COMPUTING,B2,noun,technology
appointment,JOB,C2,noun,work
blindness,NOT SEEING,C1,noun,body and health
carelessness,,B2,noun,people: personality
cheerfulness,,C2,noun,people: personality
coldness,CHARACTER,C2,noun,people: personality
anchor,JOB,C2,noun,arts and media
collector,,B2,noun,people: actions
ancestor,,B2,noun,relationships
championship,,B1,noun,shopping
bravery,,B2,noun,people: personality
addiction,,B2,noun,body and health
abortion,,C1,noun,body and health
animal,NOT A HUMAN,A1,noun,animals
bird,,A1,noun,animals
cat,,A1,noun,animals
baby,ANIMAL,A2,noun,animals
bear,,A2,noun,animals
chicken,BIRD,A2,noun,animals
ant,,B1,noun,animals
bat,ANIMAL,B1,noun,animals
bee,,B1,noun,animals
bug,INSECT,B1,noun,animals
bull,,B1,noun,animals
butterfly,,B1,noun,animals
cage,,B1,noun,animals
calf,ANIMAL,B1,noun,animals
camel,,B1,noun,animals
breed,,B2,noun,animals
cell,ORGANISM,B2,noun,animals
collar,ON AN ANIMAL,B2,noun,animals
beak,,C1,noun,animals
bark,DOG,B2,verb,animals
breed,,B2,verb,animals
ad,,A1,noun,arts and media
band,,A1,noun,arts and media
book,FOR READING,A1,noun,arts and media
camera,,A1,noun,arts and media
cartoon,FILM,A2,noun,arts and media
cartoon,DRAWING,A2,noun,arts and media
channel,TV,A2,noun,arts and media
clown,,A2,noun,arts and media
act,THEATER,B1,noun,arts and media
album,MUSIC,B1,noun,arts and media
article,NEWSPAPER,B1,noun,arts and media
audience,GROUP,B1,noun,arts and media
biography,,B1,noun,arts and media
chapter,,B1,noun,arts and media
character,IN A STORY,B1,noun,arts and media
circus,,B1,noun,arts and media
audience,TYPE,B2,noun,arts and media
beat,MUSIC,B2,noun,arts and media
cast,,B2,noun,arts and media
cello,,B2,noun,arts and media
choir,,B2,noun,arts and media
column,PRINTING,B2,noun,arts and media
bow,INSTRUMENT,C2,noun,arts and media
art,"PAINTINGS/DRAWINGS, ETC.",A2,noun,arts and media
cable,TELEVISION/TELEPHONE,B1,noun,arts and media
ballet,,B2,noun,arts and media
cinema,ART,C1,noun,arts and media
brass,MUSIC,C2,noun,arts and media
background,PICTURE,B2,noun,arts and media
accompany,MUSIC,C2,verb,arts and media
act,PERFORM,B1,verb,arts and media
advertise,TRY TO SELL,B1,verb,arts and media
broadcast,,B2,verb,arts and media
arm,BODY,A1,noun,body and health
body,PERSON,A1,noun,body and health
