#,SuperCategory,SubCategory,Level,Lexical Range,guideword,Can-do statement,Example
1,ADJECTIVES,combining,A1,N/A,FORM: COMBINING TWO ADJECTIVES WITH 'AND',Can use 'and' to join a limited range of common adjectives.,"The teachers are very nice and friendly . (A1 BREAKTHROUGH; 2007; Polish; Pass)

I like my house because it is big and comfortable . (A1 BREAKTHROUGH; 2007; Polish; Pass)

You can buy Turkish and English products as well. (A1 BREAKTHROUGH; Polish)"
2,ADJECTIVES,combining,A2,N/A,FORM: COMBINING TWO ADJECTIVES WITH 'BUT',"Can use 'but' to join a limited range of common adjectives, after 'be'.","The weather was cloudy but fine. (A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)

It was cheap but beautiful. (Malaysia; A2 WAYSTAGE; 2008; Chinese; Pass)"
3,ADJECTIVES,combining,B1,N/A,FORM: BEFORE THE NOUN,"Can use a comma to combine two adjectives used before the noun, following the usual order of adjective types.","It was the biggest TV in the bazaar, with its huge, black screen. (Turkey; B1 THRESHOLD; 2009; Turkish; Pass)

My house was built in 1864. It's an old, Victorian-style house. (B1 THRESHOLD; 2003; ; Pass)"
4,ADJECTIVES,combining,B1,N/A,FORM: COMBINING COMPARATIVE ADJECTIVES WITH 'AND',Can use 'and' to join a limited range of comparative adjectives.► adjectives: comparatives,"In the winter you can go to the fitness centre, there you can get stronger and fitter. (Switzerland; B1 THRESHOLD; 2009; Swiss German; Pass)

The cars will fly around the buildings like planes, and they will be faster and cheaper. (Brazil; B1 THRESHOLD; 2007; Portuguese; Pass)"
5,ADJECTIVES,combining,B1,N/A,FORM: COMBINING MORE THAN TWO ADJECTIVES,"Can use commas and 'and' to join more than two adjectives, after 'be'.","Her name is Cassia, she is beautiful, intelligent, funny and very reliable. (Brazil; B1 THRESHOLD; 2002; Portuguese; Pass)

He is tall, thin and not very handsome, but he is very nice and friendly. (Spain; B1 THRESHOLD; 2003; Spanish - European; Pass)"
6,ADJECTIVES,combining,B1,N/A,FORM: COMBINING THE SAME COMPARATIVE ADJECTIVE WITH 'AND',"Can use 'and' to repeat a comparative adjective to indicate change over time, usually after 'become' or get. ► adjectives: comparatives","I could see how the fire was burning the door, and the room became hotter and hotter. (Argentina; B1 THRESHOLD; 2007; Spanish - Latin American; Pass)

I think that's a good question, because nowadays television is getting worse and worse, but there are still some good programmes. (Spain; B1 THRESHOLD; 2007; Spanish - European; Pass)"
7,ADJECTIVES,combining,B1,1,FORM: COMPOUND ADJECTIVES,"Can use a limited range of compound adjectives ('good-looking', 'well-known') ","He was tall and good-looking. (B1 THRESHOLD; 2007; Polish; Pass)

This programme is presented by ""Gato Feobranto,"" a well-known comedy group. (Portugal; B1 THRESHOLD; 2007; Portuguese; Pass)"
8,ADJECTIVES,combining,B2,2,FORM: COMPOUND ADJECTIVES,"Can use an increasing range of compound adjectives ('up-to-date', 'state-of-the-art')","The selling point is that it contains the most up-to-date and state-of-the-art know-how, for instance a water-proof keyboard, information security system, etc. A survey of our customers last year indicated that over 70% of them are content with the user-friendly designs. (China; B2 VANTAGE; 2008; Chinese; Fail)

…getting to work (in big cities) by car is more healthy for drivers but has a long-term effect on the environment and on us, in the end, as well. (Poland; B2 VANTAGE; 1993; Polish; Pass)"
9,ADJECTIVES,combining,B2,N/A,FORM: PHRASES MODIFYING NOUNS,Can use adjective phrases to modify nouns.,"Besides, we could leave one day in the morning and travel by boat to a small and exotic island full of different and exotic species of birds that we could observe and photograph. (Turkey; B2 VANTAGE; 1993; Portuguese; Pass)

Emily Brontë succeeded in writing a romantic, psychological and tragic story, beautifully set in these mysterious moors. (Netherlands; B2 VANTAGE; 2001; Dutch; Pass)"
10,ADJECTIVES,combining,C1,3,FORM: COMPOUND ADJECTIVES,"Can use a wide range of compound adjectives ('open-minded', 'above-mentioned', 'well-to-do', 'jaw-dropping') ","I would describe myself as an easy-going and open-minded person. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1999; Polish; Pass)

…we suggest investing a certain amount of money in the above-mentioned technical devices in order to achieve the financial target. (Switzerland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2000; German; Pass)

But as she does not live in a well-to-do family, Ola was never able to afford additional private lessons, for example. (Poland; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 1993; Polish; Fail)

If anyone has ever seen it, they would agree with me that it was THE most jaw-dropping road in the world. (Netherlands; C1 EFFECTIVE OPERATIONAL PROFICIENCY; 2003; Dutch; Pass)"
11,ADJECTIVES,combining,C2,N/A,FORM: COMBINING MULTIPLE ADJECTIVES,"Can combine more complex, lengthy strings of adjectives, joining the last two adjectives with 'and'. ","A timid, shy, self-conscious, over-sensitive and vulnerable person can yearn to make friends with someone who is very self-assured, confident, decisive, even bossy. (Poland; C2 MASTERY; 1999; Polish; Pass)

In the increasingly materialistic, greedy and shallow society we live in today, it would almost seem that there are no disadvantages to being rich. (Portugal; C2 MASTERY; 1999; Portuguese; Pass)"
12,ADJECTIVES,combining,C2,N/A,USE: FOCUS,"Can use a list of adjectives in ellipted clauses before and after a noun, to give focus. ► focus","Imaginative, good-humoured, friendly, he was respected and liked by his peer-students. (Poland; C2 MASTERY; 1993; Polish; Pass)

The latter – fat, ugly and sick – blows his top when Ralph tells the others about the fat boy's nice name, as he wanted to keep it secret. (Greece; C2 MASTERY; 1993; Greek; Pass)"
13,ADJECTIVES,comparatives,A2,N/A,FORM: + -ER,Can form comparative adjectives from adjectives of one syllable by adding '-er'.,"I played computer games with my older brother. (Vietnam; A2 WAYSTAGE; 2009; Vietnamese; Pass)

The shirt was cheaper than the trousers. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)

It is easy to use and it is smaller than the old one. (Spain; A2 WAYSTAGE; 2007; Spanish - European; Pass)"
14,ADJECTIVES,comparatives,A2,N/A,FORM: + -IER,Can form comparative adjectives with adjectives of two syllables ending in '-y' by changing the 'y' to an 'I' and adding '-er'.,"I like it because it's small and easier to use than other phones. (Spain; A2 WAYSTAGE; 2007; Spanish - European; Pass)

The students were happier and there were lots of stories for their parents. (A2 WAYSTAGE; 2011; French; Pass)"
15,ADJECTIVES,comparatives,A2,N/A,FORM: BEFORE NOUNS,"Can use comparative adjectives attributively, before nouns. ","I just watched a cricket match with my younger brother and my father. (India; A2 WAYSTAGE; 2007; Hindi; Pass)

I bought the shoes and the t-shirt for my older brother's party. (Mexico; A2 WAYSTAGE; 2008; Spanish - Latin American; Pass)

I want to take this course because I want to know more about computers, so that I can get a better job. (A2 WAYSTAGE; 2007; Gujarati; Pass)"
16,ADJECTIVES,comparatives,A2,N/A,FORM: COMPLEMENT OF 'BE',Can use comparative adjectives as a complement of 'be'.,"Sam, It would be better if you came after 4.30 p.m. (Sri Lanka; A2 WAYSTAGE; 2009; Singhalese; Pass)

You can come by bus, it's easier. (Turkey; A2 WAYSTAGE; 2009; Turkish; Pass)

You need to wear shorts and a t-shirt so you are more comfortable. (Argentina; A2 WAYSTAGE; 2008; Spanish - Latin American; Pass)"
17,ADJECTIVES,comparatives,A2,N/A,FORM: DOUBLE CONSONANT + '-ER',"Can form comparative adjectives with adjectives of one syllable with a short vowel, by doubling the final consonant and adding '-er'","The rooms are all very beautiful, but I prefer my room because is bigger. (Italy; A2 WAYSTAGE; 2000; Italian; Pass)

I bought lots of T-shirts because the weather is getting hotter. (Taiwan; A2 WAYSTAGE; 2008; Chinese; Pass)"
18,ADJECTIVES,comparatives,A2,N/A,FORM: ENDING IN '-E' + '-R',"Can form comparative adjectives with adjectives of one syllable ending in 'e', by adding '-r'.","[talking about an alternative plan] I think it will be nicer. (France; A2 WAYSTAGE; 2003; French; Pass)

You can come by boat, but I prefer to come by aeroplane because it is safer. (Cyprus; A2 WAYSTAGE; 2009; Greek; Pass)"
19,ADJECTIVES,comparatives,A2,N/A,FORM: IRREGULAR,Can form irregular comparative adjectives.,"What colour do you think is better? (A2 WAYSTAGE; 2006; Spanish - Other; Pass)

For further information, contact Joey Hung. (Hong Kong; A2 WAYSTAGE; 1999; Chinese; Pass)"
20,ADJECTIVES,comparatives,A2,N/A,FORM: WITH 'MORE',Can form a range of comparative adjective phrases using 'more' + longer adjectives (usually three or more syllables).,"I think you must be more careful. (Turkey; A2 WAYSTAGE; 2006; Turkish; Pass)

It was more expensive than the other clothes. (Spain; A2 WAYSTAGE; 2008; Catalan; Pass)"
21,ADJECTIVES,comparatives,A2,N/A,FORM: WITH 'THAN',Can use a comparative adjective with 'than' to compare two nouns or noun phrases.► comparative clauses,"It's smaller than my old phone and I like it because it has bluetooth and it isn't very expensive. (Spain; A2 WAYSTAGE; 2007; Spanish - European; Pass)

The weather in Thailand was hotter than Vietnam, but I was alright! (Vietnam; A2 WAYSTAGE; 2009; Vietnamese; Pass)

My new mobile is more interesting than my old mobile. (Spain; A2 WAYSTAGE; 2007; Spanish - European; Pass)"
22,ADJECTIVES,comparatives,B1,N/A,FORM/USE: WITH '(SO) MUCH',"Can use '(so) much' to modify and intensify comparative adjectives used predicatively after a verb, usually 'be'. ","I think the teacher in the new class is much better than the last one. (Germany; B1 THRESHOLD; 2002; German; Pass)

The house is beautiful, and so much bigger than the previous one. (Poland; B1 THRESHOLD; 2007; Polish; Pass)"
