index,Key,Pinyin,English
6.74,人 亻,rén,man
6.44,月,yuè,moon
6.36,而,ér,and
6.3,日,rì,sun
6.27,一,yī,one
6.23,大,dà,big
6.14,又 ヌ,yòu,"still, hand"
6.09,里,lǐ,neighborhood
6.07,用,yòng,to use
5.89,小 ⺌ ⺍,xiǎo,small
5.78,比,bǐ,to confront
5.77,长,zhǎng,long
5.75,高,gāo,high
5.72,至,zhì,to reach
5.67,自,zì,personal
5.66,走,zǒu,to walk
5.65,无,wú,without
5.59,见,jiàn,to see
5.52,干,gàn,dry
5.48,女,nǚ,woman
5.46,网 罒 罓 罓,wǎng,net
5.46,老 耂,lǎo,old
5.44,马,mǎ,horse
5.43,行,xíng,circulate
5.39,二,èr,two
5.39,非,fēi,FALSE
5.36,心 忄,xīn,heart
5.31,米,mǐ,rice
5.3,水 氵 氺,shuǐ,water
5.3,生,shēng,be born
5.27,车,chē,car
5.26,手 扌 才,shǒu,hand
5.21,门,mén,gate
5.2,金 钅,jīn,"gold, metal"
5.2,西 覀,xi,lid
5.17,黑,hēi,black
5.16,黃,huáng,yellow
5.15,子,zi,child
5.11,面,miàn,face
5.11,王 玉,yù,jade
5.09,几,jǐ,table
5.08,入,rù,to enter
4.99,文,wén,writing
4.99,山,shān,mountain
4.98,页 頁,yè,"head, leaf"
4.95,言 讠,yán,speech (trad)
4.94,风,fēng,wind
4.92,口,kǒu,mouth
4.91,方,fāng,"square, direction"
4.9,白,bái,white
4.89,毛,máo,fur
4.88,力,lì,force
4.88,厂,chǎng,production facility
4.87,飞,fēi,to fly
4.87,片,piàn,slice
4.85,龙,lóng,dragon
4.84,牛 牜 ⺧,niú,beef
4.82,儿,er,child
4.81,鱼,yú,fish
4.81,肉 月,ròu,meat
4.78,鬼,guǐ,ghost
4.77,血,xuè,blood
4.76,色,sè,color
4.75,气,qì,air
4.75,首,shǒu,head
4.74,十,shí,ten
4.73,身,shēn,body
4.73,八 丷,bā,"eight, separate"
4.71,戶 户,hù,gate
4.71,鸟,niǎo,bird
4.7,立,lì,standing up
4.69,目,mù,eye
4.65,火 灬,huǒ,fire
4.64,支,zhī,branch
4.61,广,guǎng,shelter
4.57,曰,yuē,to say
4.54,谷,gǔ,valley
4.53,工,gōng,work
4.53,足,zú,foot
4.49,香,xiāng,perfume
4.49,雨,yǔ,rain
4.48,田,tián,field
4.48,皮,pí,skin
4.48,石,shí,stone
4.47,青,qīng,blue/green
4.46,土,tǔ,earth
4.44,食 饣,shí,to eat
4.44,角,jiǎo,horn
4.42,士,shì,scholar
4.41,音,yīn,sound
4.4,母 毋 毌,mǔ,mother
4.39,麦,mài,corn
4.39,瓦,wǎ,tile
4.38,鬥,dòu,fight
4.38,斗,dòu,measurer
4.37,齐,qí,regular
4.37,欠,qiàn,tired
4.37,木 朩,mù,tree
4.31,父,fù,father
4.29,牙,yá,"tooth, ivory"
4.29,川 巛,chuān,river
4.25,贝,bèi,"shell, money"
4.23,止,zhǐ,to stop
4.21,己,jǐ,personal
4.2,羊 ⺶ ⺷,yáng,sheep
4.17,虫,chóng,insect
4.15,衣 衤,yī,cloth
4.14,氏,shì,clan
4.13,骨,gǔ,bone
4.13,穴,xué,"cave, swing door"
4.11,龟,guī,tortoise
4.1,耳,ěr,ear
4.09,犬 犭,quǎn,dog
4.08,赤,chì,red
4.07,韦,wéi,tanned leather
4.04,竹 ⺮ ケ,shì,bamboo
4.0,乙 乚 乛,yǐ,sickle
3.99,甘,gān,sweet
3.98,辛,xīn,bitter
