index,level,syllable,headword
5.75,二级,a,啊
4.72,一级,de,的
4.71,六级,é,额
4.61,一级,me,么
4.48,六级,la,啦
4.03,一级,le,了
4.0,一级,è,饿
3.94,一级,ma,吗
3.8,一级,men,们
3.67,四级,na,哪
3.54,一级,dé,得
3.53,一级,hé,和
3.5,高等,bo,卜
3.5,一级,ér,儿
3.49,一级,ba,吧
3.49,四级,ā,阿
3.47,一级,yé,爷
3.46,三级,gé,格
3.44,四级,ya,呀
3.42,五级,ké,咳
3.36,一级,ne,呢
3.35,高等,shi,匙
3.3,高等,ò,哦
3.27,三级,zé,责
3.26,四级,mó,模
3.26,五级,bó,博
3.24,六级,ái,挨
3.24,五级,bá,拔
3.24,三级,má,麻
3.23,四级,pó,婆
3.22,一级,ná,拿
3.21,二级,pá,爬
3.21,一级,dá,答
3.21,高等,áo,熬
3.18,四级,yá,牙
3.18,六级,wá,娃
3.16,五级,bí,鼻
3.16,三级,mí,迷
3.16,二级,tí,题
3.16,六级,fó,佛
3.15,二级,cí,词
3.15,二级,lí,离
3.14,五级,fá,乏
3.14,六级,ní,泥
3.13,三级,pí,皮
3.13,四级,dí,敌
3.12,一级,xí,习
3.1,二级,yí,宜
3.06,三级,zá,杂
3.05,二级,jí,级
3.05,二级,qí,其
2.99,二级,sè,色
2.99,六级,wa,哇
2.98,二级,tè,特
2.97,四级,cè,测
2.97,二级,lè,乐
2.96,高等,sà,萨
2.96,五级,hè,贺
2.95,六级,tà,踏
2.95,五级,mà,骂
2.95,一级,ài,爱
2.95,一级,rè,热
2.95,一级,èr,二
2.95,一级,bà,爸
2.94,六级,ào,傲
2.94,一级,yè,页
2.94,一级,nà,那
2.94,四级,là,辣
2.94,三级,àn,按
2.94,一级,gè,个
2.93,二级,pà,怕
2.93,一级,dà,大
2.93,一级,kè,课
2.92,四级,yà,亚
2.92,四级,wà,袜
2.91,高等,gà,尬
2.9,二级,fà,发
2.82,高等,áng,昂
2.8,一级,zhe,着
2.78,四级,zhé,折
2.76,一级,chá,茶
2.74,高等,dié,叠
2.73,三级,chí,持
2.71,四级,sú,俗
2.71,一级,tú,图
2.71,六级,duó,夺
2.71,六级,lú,炉
2.71,五级,mú,模
2.7,二级,hú,湖
2.7,五级,pú,葡
2.7,高等,nú,奴
2.7,高等,xú,徐
2.7,一级,dú,读
2.7,高等,zhá,闸
2.69,二级,rú,如
2.69,二级,yú,鱼
2.69,四级,wú,无
2.68,一级,fú,服
2.68,三级,liè,烈
2.67,四级,jú,局
2.67,二级,zhí,直
2.66,六级,qú,渠
2.65,四级,chè,彻
2.65,三级,zú,足
2.64,四级,ě,恶
2.64,一级,chà,差
2.62,二级,sī,思
2.62,六级,bī,逼
2.62,四级,tī,梯
2.62,五级,shé,蛇
2.61,一级,xī,西
2.61,三级,pī,批
2.61,二级,dī,低
2.61,一级,zhè,这
2.6,一级,yī,一
2.59,一级,jī,机
2.59,六级,zhà,炸
2.58,三级,bō,播
2.58,一级,qī,七
2.58,四级,mō,摸
2.57,高等,wō,窝
2.57,三级,zī,资
2.57,五级,pō,泼
2.57,六级,miè,灭
2.55,高等,ōu,欧
2.55,一级,shí,十
2.53,二级,suí,随
2.52,二级,liú,留
2.52,一级,méi,没
2.5,三级,chú,除
2.5,三级,shè,社
2.5,四级,léi,雷
2.49,高等,sā,撒
2.49,高等,shà,厦
2.49,一级,mén,门
2.48,四级,cā,擦
2.48,二级,lā,拉
2.48,一级,tā,他
2.48,六级,āi,挨
2.48,一级,bā,八
2.48,高等,pā,趴
2.48,三级,hā,哈
2.48,二级,dā,答
2.48,二级,ān,安
2.48,高等,āo,凹
2.48,一级,mā,妈
2.47,三级,yā,压
2.47,四级,zhú,逐
2.47,一级,bié,别
2.47,三级,kā,咖
2.47,六级,wā,挖
2.46,四级,péi,培
2.46,二级,fā,发
2.45,高等,zā,扎
2.45,一级,chī,吃
2.44,一级,sì,四
2.44,三级,huá,华
2.44,高等,tuó,驮
2.44,二级,huó,活
2.43,二级,bì,必
2.43,高等,nì,逆
2.43,四级,mì,秘
2.43,高等,pì,辟
2.43,二级,lì,利
2.43,四级,tì,替
2.43,一级,huí,回
2.43,一级,dì,弟
2.43,五级,pén,盆
2.43,一级,xì,系
2.43,一级,cì,次
2.43,一级,rì,日
2.42,高等,tuí,颓
2.42,二级,yì,意
2.42,五级,duī,堆
2.42,一级,zhī,知
2.42,高等,hén,痕
2.41,二级,jié,节
2.41,一级,jì,记
2.41,二级,wéi,为
2.41,一级,qì,气
2.41,一级,yuè,月
2.4,一级,duō,多
2.4,一级,rén,人
2.4,一级,zì,字
2.39,二级,shú,熟
2.39,五级,luó,逻
2.38,高等,biè,别
2.38,一级,huà,话
2.38,一级,wén,文
2.37,高等,jiá,颊
2.37,高等,nuó,挪
2.36,二级,xié,鞋
2.35,四级,féi,肥
2.35,一级,hē,喝
2.35,六级,ēn,恩
2.35,高等,yē,椰
2.35,五级,chā,叉
2.34,一级,gē,哥
2.34,二级,kē,科
2.34,一级,shī,师
2.33,二级,suī,虽
2.33,六级,zhā,扎
2.33,高等,fén,坟
2.33,高等,xiá,侠
2.33,一级,jiè,介
2.32,一级,jià,假
2.31,高等,chì,斥
2.31,四级,suō,缩
2.3,五级,sǎ,洒
2.3,二级,mò,末
2.3,六级,tǎ,塔
2.3,一级,mǎ,马
2.29,一级,xiè,谢
2.29,一级,nǎ,哪
2.29,高等,yǎ,哑
2.29,一级,duì,对
2.29,高等,wǎ,瓦
2.29,三级,bǎ,把
2.29,四级,ǎi,矮
2.29,三级,zhì,志
2.29,一级,dǎ,打
2.29,高等,lǎ,喇
2.29,三级,pò,破
2.29,三级,wò,握
2.28,二级,guo,过
2.28,二级,fǎ,法
2.28,二级,kǎ,卡
2.28,一级,xià,下
2.26,四级,huī,挥
2.26,一级,niú,牛
2.26,高等,liē,咧
2.26,二级,tuī,推
2.26,三级,shā,沙
2.25,一级,chē,车
2.25,高等,huō,豁
2.25,一级,guó,国
2.24,一级,shì,是
2.24,四级,tuō,脱
2.23,高等,zéi,贼
2.23,高等,zhē,遮
2.23,一级,suì,岁
2.22,六级,diē,跌
2.21,三级,guà,挂
2.21,三级,tái,台
2.21,四级,liǎ,俩
2.21,一级,jué,觉
2.2,一级,huā,花
2.2,一级,bái,白
2.2,六级,mái,埋
2.19,高等,duò,堕
2.19,高等,zhǎ,眨
2.19,二级,cái,才
2.19,一级,lái,来
2.19,三级,tán,谈
2.19,二级,què,确
2.18,六级,mán,馒
2.18,五级,táo,逃
2.18,高等,shē,奢
2.18,四级,báo,薄
2.18,六级,cán,残
2.18,一级,máo,毛
2.17,一级,hái,孩
2.17,二级,pái,排
2.17,高等,cáo,曹
2.17,五级,láo,劳
2.17,一级,huì,会
2.17,三级,tuì,退
2.17,二级,lán,蓝
2.16,四级,pán,盘
2.16,高等,náo,挠
2.16,一级,nán,男
2.16,一级,jiā,家
2.16,四级,tiē,贴
2.15,高等,chuí,垂
2.15,高等,juè,倔
2.15,四级,háo,毫
2.15,高等,ruì,锐
2.15,四级,hán,含
2.15,高等,páo,刨
2.14,五级,shǎ,傻
2.14,高等,ráo,饶
