index,level,syllable,headword
7.79,一级,de,的
7.17,一级,shì,是
7.16,一级,zài,在
7.14,三级,liǎo,了
7.14,一级,le,了
6.95,一级,wǒ,我
6.86,一级,hé,和
6.83,一级,yǒu,有
6.76,一级,bù,不
6.74,一级,rén,人
6.7,一级,yě,也
6.7,一级,nǐ,你
6.69,二级,wéi,为
6.68,一级,tā,他
6.68,一级,zhè,这
6.65,一级,zhōng,中
6.64,一级,nián,年
6.63,一级,duì,对
6.6,一级,jiù,就
6.59,一级,dōu,都
6.59,三级,dū,都
6.55,一级,shàng,上
6.55,一级,shuō,说
6.53,一级,ma,吗
6.48,一级,huì,会
6.48,一级,dào,到
6.46,一级,yào,要
6.46,二级,yāo,要
6.45,一级,lái,来
6.44,一级,yuè,月
6.38,一级,huán,还
6.35,一级,gè,个
6.33,一级,děng,等
6.33,一级,hòu,后
6.3,一级,rì,日
6.29,三级,jiāng,将
6.29,一级,néng,能
6.27,一级,hěn,很
6.27,一级,yī,一
6.26,二级,ràng,让
6.25,一级,cóng,从
6.24,一级,hǎo,好
6.24,二级,yǐ,以
6.23,一级,dà,大
6.22,一级,zhe,着
6.22,四级,zháo,着
6.21,一级,duō,多
6.18,一级,gěi,给
6.17,三级,bǎ,把
6.16,一级,kàn,看
6.16,一级,qù,去
6.12,二级,huò,或
6.1,一级,guò,过
6.1,二级,guo,过
6.1,一级,xià,下
6.09,一级,xīn,新
6.09,一级,lǐ,里
6.08,二级,yóu,由
6.07,一级,méi,没
6.07,一级,yòng,用
6.06,二级,gèng,更
6.06,五级,gēng,更
6.04,二级,suǒ,所
6.04,一级,dé,得
6.04,四级,děi,得
6.03,一级,xiǎng,想
6.03,一级,zuì,最
6.01,一级,nà,那
5.98,一级,ba,吧
5.98,一级,sān,三
5.96,二级,qí,其
5.96,二级,gāi,该
5.94,二级,xiàng,向
5.93,一级,qián,前
5.92,二级,a,啊
5.92,一级,chū,出
5.89,二级,dāng,当
5.89,一级,xiǎo,小
5.88,一级,men,们
5.88,三级,nèi,内
5.87,二级,cái,才
5.86,一级,ài,爱
5.85,一级,shéi,谁
5.85,一级,shuí,谁
5.82,一级,hào,号
5.79,一级,kuài,快
5.78,一级,gēn,跟
5.78,一级,bǐ,比
