index ,level ,word         ,pinyin              ,part_of_speech
 7.79 ,一级  ,的           ,de                  ,助
 7.17 ,一级  ,是           ,shì                 ,动
 7.16 ,一级  ,在           ,zài                 ,动、介、副
 7.14 ,一级  ,了           ,le                  ,助
 7.14 ,三级  ,了           ,liǎo                ,动
 6.95 ,一级  ,我           ,wǒ                  ,代
 6.86 ,一级  ,和           ,hé                  ,介、连
 6.83 ,一级  ,有           ,yǒu                 ,动
 6.76 ,一级  ,不           ,bù                  ,副
 6.74 ,一级  ,人           ,rén                 ,名
 6.7  ,一级  ,也           ,yě                  ,副
 6.7  ,一级  ,你           ,nǐ                  ,代
 6.69 ,三级  ,为           ,wéi                 ,动
 6.69 ,二级  ,为           ,wèi                 ,介
 6.68 ,一级  ,他           ,tā                  ,代
 6.68 ,一级  ,这           ,zhè                 ,代
 6.65 ,一级  ,中           ,zhōng               ,名
 6.64 ,一级  ,年           ,nián                ,量
 6.64 ,六级  ,与           ,yǔ                  ,介、连
 6.63 ,一级  ,对           ,duì                 ,形
 6.6  ,一级  ,就           ,jiù                 ,副
 6.59 ,一级  ,都           ,dōu                 ,副
 6.55 ,一级  ,说           ,shuō                ,动
 6.55 ,一级  ,上           ,shàng               ,名、动
 6.53 ,一级  ,我们         ,wǒmen               ,代
 6.53 ,一级  ,吗           ,ma                  ,助
 6.48 ,一级  ,会           ,huì                 ,动
 6.48 ,四级  ,会           ,huìlǜ               ,名
 6.48 ,一级  ,到           ,dào                 ,动
 6.46 ,一级  ,要           ,yào                 ,动
 6.45 ,一级  ,来           ,lái                 ,动
 6.44 ,一级  ,月           ,yuè                 ,名
 6.44 ,一级  ,中国         ,Zhōngguó            ,名
 6.42 ,三级  ,被           ,bèi                 ,介
 6.4  ,一级  ,他们         ,tāmen               ,代
 6.38 ,一级  ,还           ,huán                ,动
 6.38 ,一级  ,没有         ,méi·yǒu             ,动、副
 6.38 ,一级  ,还           ,hái                 ,副
 6.36 ,四级  ,而           ,ér                  ,连
 6.35 ,一级  ,个           ,gè                  ,量
 6.34 ,二级  ,可以         ,kěyǐ                ,动
 6.33 ,一级  ,等           ,děng                ,动
 6.33 ,一级  ,后           ,hòu                 ,名
 6.32 ,二级  ,但           ,dàn                 ,连
 6.31 ,六级  ,于           ,yú                  ,介
 6.3  ,一级  ,什么         ,shénme              ,代
 6.3  ,一级  ,日           ,rì                  ,名
 6.29 ,五级  ,将           ,jiāng               ,副、介
 6.29 ,一级  ,能           ,néng                ,动
 6.29 ,三级  ,并           ,bìng                ,副、连
 6.29 ,四级  ,并           ,bìng                ,动
 6.27 ,一级  ,一           ,yī                  ,数
 6.27 ,一级  ,很           ,hěn                 ,副
 6.26 ,二级  ,让           ,ràng                ,动、介
 6.25 ,一级  ,从           ,cóng                ,介
 6.25 ,一级  ,国家         ,guójiā              ,名
 6.24 ,一级  ,好           ,hǎo                 ,形
 6.24 ,四级  ,好           ,hào                 ,动
 6.24 ,高等  ,以           ,yǐ                  ,介、连
 6.23 ,一级  ,大           ,dà                  ,形
 6.23 ,一级  ,她           ,tā                  ,代
 6.22 ,一级  ,着           ,zhe                 ,助
 6.22 ,四级  ,着           ,zháo                ,动
 6.21 ,一级  ,多           ,duō                 ,形、代
 6.2  ,二级  ,自己         ,zìjǐ                ,代
 6.19 ,二级  ,问题         ,wèntí               ,名
 6.18 ,三级  ,时           ,shí                 ,名
 6.18 ,一级  ,给           ,gěi                 ,动、介
 6.17 ,三级  ,把           ,bǎ                  ,量
 6.17 ,三级  ,把           ,bǎ                  ,介
 6.16 ,一级  ,去           ,qù                  ,动
 6.16 ,一级  ,看           ,kàn                 ,动
 6.16 ,六级  ,看           ,kān                 ,动
 6.14 ,二级  ,又           ,yòu                 ,副
 6.12 ,二级  ,或           ,huò                 ,连
 6.11 ,二级  ,因为         ,yīn·wèi             ,连、介
 6.1  ,一级  ,过           ,guò                 ,动
 6.1  ,高等  ,之           ,zhī                 ,代
 6.1  ,一级  ,下           ,xià                 ,名、动
 6.1  ,二级  ,过           ,guo                 ,助
 6.1  ,一级  ,现在         ,xiànzài             ,名
 6.09 ,一级  ,里           ,lǐ                  ,名
 6.09 ,一级  ,新           ,xīn                 ,形
 6.08 ,一级  ,地           ,dì                  ,名
 6.08 ,一级  ,地           ,de                  ,助
 6.08 ,高等  ,及           ,jí                  ,连
 6.08 ,三级  ,由           ,yóu                 ,介
 6.08 ,一级  ,做           ,zuò                 ,动
 6.07 ,一级  ,怎么         ,zěnme               ,代
 6.07 ,一级  ,用           ,yòng                ,动
 6.07 ,一级  ,没           ,méi                 ,副、动
 6.06 ,三级  ,就是         ,jiùshì              ,连
 6.06 ,二级  ,更           ,gèng                ,副
 6.06 ,二级  ,已经         ,yǐjīng              ,副
 6.05 ,一级  ,这些         ,zhèxiē              ,代
 6.04 ,三级  ,所           ,suǒ                 ,名、量
 6.04 ,四级  ,得           ,děi                 ,动
 6.04 ,二级  ,得           ,de                  ,助
 6.04 ,二级  ,得           ,dé                  ,动
 6.03 ,一级  ,想           ,xiǎng               ,动
 6.03 ,一级  ,最           ,zuì                 ,副
 6.03 ,三级  ,发展         ,fāzhǎn              ,动、名
 6.03 ,三级  ,开始         ,kāishǐ              ,动、名
 6.03 ,二级  ,这样         ,zhèyàng             ,代
 6.02 ,四级  ,政府         ,zhèngfǔ             ,名
 6.02 ,二级  ,公司         ,gōngsī              ,名
 6.02 ,二级  ,它           ,tā                  ,代
 6.01 ,一级  ,那           ,nà                  ,代
 6.01 ,二级  ,可能         ,kěnéng              ,动、形、名
 5.99 ,一级  ,工作         ,gōngzuò             ,动、名
 5.99 ,三级  ,社会         ,shèhuì              ,名
 5.98 ,五级  ,可           ,kě                  ,副、连
 5.98 ,一级  ,三           ,sān                 ,数
 5.98 ,一级  ,吧           ,ba                  ,助
 5.97 ,一级  ,知道         ,zhī·dào             ,动
 5.97 ,二级  ,进行         ,jìnxíng             ,动
 5.97 ,二级  ,如果         ,rúguǒ               ,连
 5.96 ,三级  ,世界         ,shìjiè              ,名
 5.96 ,二级  ,该           ,gāi                 ,动
 5.96 ,五级  ,其           ,qí                  ,代
 5.94 ,三级  ,只           ,zhī                 ,量
 5.94 ,二级  ,向           ,xiàng               ,介、动
 5.94 ,二级  ,计划         ,jìhuà               ,名、动
 5.94 ,二级  ,只           ,zhǐ                 ,副
 5.93 ,三级  ,需要         ,xūyào               ,动、名
 5.93 ,二级  ,成为         ,chéngwéi            ,动
 5.93 ,二级  ,认为         ,rènwéi              ,动
 5.93 ,一级  ,时间         ,shíjiān             ,名
 5.93 ,一级  ,前           ,qián                ,名
 5.92 ,二级  ,啊           ,a                   ,助
 5.92 ,一级  ,出           ,chū                 ,动
 5.92 ,三级  ,已           ,yǐ                  ,副
 5.92 ,四级  ,啊           ,ā                   ,叹
 5.89 ,三级  ,地区         ,dìqū                ,名
 5.89 ,一级  ,时候         ,shíhou              ,名
 5.89 ,一级  ,再           ,zài                 ,副
 5.89 ,二级  ,国际         ,guójì               ,名
 5.89 ,六级  ,当           ,dàng                ,动
 5.89 ,一级  ,小           ,xiǎo                ,形
 5.89 ,二级  ,当           ,dāng                ,动、介
 5.88 ,四级  ,却           ,què                 ,副
 5.88 ,三级  ,内           ,nèi                 ,名
 5.87 ,二级  ,使用         ,shǐyòng             ,动
 5.87 ,三级  ,经济         ,jīngjì              ,名、形
 5.87 ,二级  ,才           ,cái                 ,副
 5.86 ,一级  ,爱           ,ài                  ,动
 5.86 ,二级  ,活动         ,huódòng             ,动、名
 5.85 ,二级  ,应该         ,yīnggāi             ,动
 5.85 ,二级  ,但是         ,dànshì              ,连
 5.85 ,一级  ,谁           ,shéi/shuí           ,代
 5.85 ,四级  ,政治         ,zhèngzhì            ,名
 5.85 ,四级  ,历史         ,lìshǐ               ,名
 5.84 ,四级  ,以及         ,yǐjí                ,连
 5.84 ,一级  ,真的         ,zhēn de             ,
 5.84 ,三级  ,情况         ,qíngkuàng           ,名
 5.84 ,五级  ,组织         ,zǔzhī               ,动、名
 5.83 ,三级  ,人民         ,rénmín              ,名
 5.83 ,二级  ,其他         ,qítā                ,代
 5.83 ,三级  ,发生         ,fāshēng             ,动
 5.82 ,四级  ,地方         ,dìfāng              ,名
 5.82 ,一级  ,地方         ,dìfang              ,名
 5.82 ,二级  ,主要         ,zhǔyào              ,形
 5.82 ,一级  ,号           ,hào                 ,名、量
 5.82 ,二级  ,网站         ,wǎngzhàn            ,名
 5.81 ,二级  ,生活         ,shēnghuó            ,名、动
 5.8  ,二级  ,通过         ,tōngguò             ,介、动
 5.8  ,一级  ,你们         ,nǐmen               ,代
 5.79 ,三级  ,为了         ,wèile               ,介
 5.79 ,一级  ,事           ,shì                 ,名
 5.79 ,二级  ,同时         ,tóngshí             ,连、名
 5.79 ,一级  ,快           ,kuài                ,形、副
 5.79 ,二级  ,必须         ,bìxū                ,副
 5.78 ,二级  ,所有         ,suǒyǒu              ,形
 5.78 ,二级  ,所以         ,suǒyǐ               ,连
 5.78 ,一级  ,有的         ,yǒude               ,代
 5.78 ,一级  ,比           ,bǐ                  ,介、动
 5.78 ,一级  ,跟           ,gēn                 ,介、连、动
 5.77 ,二级  ,发现         ,fāxiàn              ,动、名
 5.77 ,一级  ,请           ,qǐng                ,动
 5.77 ,四级  ,包括         ,bāokuò              ,动
 5.77 ,二级  ,长           ,zhǎng               ,动
 5.77 ,二级  ,长           ,cháng               ,形
 5.77 ,一级  ,还有         ,hái yǒu             ,
 5.76 ,一级  ,一些         ,yìxiē               ,
 5.76 ,一级  ,呢           ,ne                  ,助
 5.76 ,一级  ,还是         ,háishi              ,副、连
 5.76 ,三级  ,决定         ,juédìng             ,动、名
 5.76 ,三级  ,如何         ,rúhé                ,代
 5.76 ,二级  ,为什么       ,wèi shénme          ,
 5.76 ,二级  ,出现         ,chūxiàn             ,动
 5.76 ,二级  ,全国         ,quánguó             ,名
 5.75 ,二级  ,其中         ,qízhōng             ,名
 5.75 ,一级  ,北京         ,Běijīng             ,名
 5.75 ,四级  ,企业         ,qǐyè                ,名
 5.75 ,一级  ,一样         ,yíyàng              ,形
 5.75 ,一级  ,重要         ,zhòngyào            ,形
 5.75 ,一级  ,高           ,gāo                 ,形
 5.75 ,一级  ,觉得         ,juéde               ,动
 5.74 ,二级  ,影响         ,yǐngxiǎng           ,动、名
 5.73 ,一级  ,喜欢         ,xǐhuan              ,动
 5.73 ,高等  ,则           ,zé                  ,连
 5.73 ,三级  ,文化         ,wénhuà              ,名
 5.73 ,一级  ,起来         ,qǐ∥·lái             ,
 5.72 ,四级  ,提供         ,tígōng              ,动
 5.72 ,二级  ,要求         ,yāoqiú              ,动、名
 5.72 ,一级  ,学生         ,xué·shēng           ,名
