序号,等次,汉字,拼音
1,初级,爱,ài
2,初级,八,bā
3,初级,把,bǎ
4,初级,爸,bà
5,初级,吧,"ba, bā"
6,初级,白,bái
7,初级,百,bǎi
8,初级,半,bàn
9,初级,帮,bāng
10,初级,包,bāo
11,初级,北,běi
12,初级,备,bèi
13,初级,本,běn
14,初级,比,bǐ
15,初级,边,biān
16,初级,别,"bié, biè"
17,初级,病,bìng
18,初级,不,bù
19,初级,才,cái
20,初级,菜,cài
21,初级,茶,chá
22,初级,差,"chà, chā, chāi"
23,初级,长,"cháng, zhǎng"
24,初级,常,cháng
25,初级,场,chǎng
26,初级,唱,chàng
27,初级,车,chē
28,初级,吃,chī
29,初级,出,chū
30,初级,穿,chuān
31,初级,次,cì
32,初级,从,cóng
33,初级,错,cuò
34,初级,答,"dá, dā"
35,初级,打,"dǎ, dá"
36,初级,大,"dà, dài"
37,初级,但,dàn
38,初级,蛋,dàn
39,初级,当,"dāng, dàng"
40,初级,到,dào
41,初级,道,dào
42,初级,得,"dé, de, děi"
43,初级,地,"de, dì"
44,初级,的,"de, dì, dí"
45,初级,等,děng
46,初级,第,dì
47,初级,点,diǎn
48,初级,电,diàn
49,初级,店,diàn
50,初级,东,dōng
51,初级,动,dòng
52,初级,都,"dōu, dū"
53,初级,对,duì
54,初级,多,duō
55,初级,饿,è
56,初级,儿,ér
57,初级,而,ér
58,初级,二,èr
59,初级,饭,fàn
60,初级,方,fāng
61,初级,房,fáng
62,初级,放,fàng
63,初级,飞,fēi
64,初级,非,fēi
65,初级,分,"fēn, fèn"
66,初级,服,fú
67,初级,该,gāi
68,初级,干,"gān, gàn"
69,初级,高,gāo
70,初级,告,gào
71,初级,哥,gē
72,初级,歌,gē
73,初级,个,gè
74,初级,给,"gěi, jǐ"
75,初级,跟,gēn
76,初级,更,"gèng, gēng"
77,初级,工,gōng
78,初级,关,guān
79,初级,贵,guì
80,初级,国,guó
81,初级,果,guǒ
82,初级,过,"guò, guo"
83,初级,还,"hái, huán"
84,初级,孩,hái
85,初级,汉,hàn
86,初级,好,"hǎo, hào"
