No.,级别,汉字,拼音
1,四级,阿,ā
2,二级,啊,a
3,四级,啊,ā
4,高等,哎,āi
5,高等,哀,āi
6,六级,挨,āi
7,六级,挨,ái
8,高等,癌,ái
9,四级,矮,ǎi
10,高等,蔼,ǎi
11,高等,艾,ài
12,高等,唉,ài
13,一级,爱,ài
14,高等,隘,ài
15,五级,碍,ài
16,二级,安,ān
17,五级,岸,àn
18,三级,按,àn
19,四级,案,àn
20,四级,暗,àn
21,高等,昂,áng
22,高等,凹,āo
23,高等,熬,áo
24,六级,傲,ào
25,高等,奥,ào
26,高等,澳,ào
27,一级,八,bā
28,四级,巴,bā
29,高等,扒,bā
30,高等,叭,bā
31,高等,芭,bā
32,五级,拔,bá
33,三级,把,bǎ
34,高等,靶,bǎ
35,高等,坝,bà
36,一级,爸,bà
37,六级,罢,bà
38,高等,霸,bà
39,一级,吧,ba
40,四级,吧,bā
41,高等,掰,bāi
42,一级,白,bái
43,一级,百,bǎi
44,高等,柏,bǎi
45,四级,摆,bǎi
46,四级,败,bài
47,五级,拜,bài
48,高等,扳,bān
49,一级,班,bān
50,二级,般,bān
51,高等,颁,bān
52,高等,斑,bān
53,三级,搬,bān
54,二级,板,bǎn
55,五级,版,bǎn
56,二级,办,bàn
57,一级,半,bàn
58,五级,扮,bàn
59,四级,伴,bàn
60,高等,拌,bàn
61,高等,瓣,bàn
62,高等,邦,bāng
63,一级,帮,bāng
64,高等,绑,bǎng
65,六级,榜,bǎng
66,高等,膀,bǎng
67,五级,棒,bàng
68,六级,傍,bàng
69,高等,谤,bàng
70,高等,磅,bàng
71,高等,镑,bàng
72,一级,包,bāo
73,六级,胞,bāo
74,高等,煲,bāo
75,四级,薄,báo
76,高等,薄,bó
77,二级,饱,bǎo
78,四级,宝,bǎo
79,三级,保,bǎo
80,高等,堡,bǎo
81,二级,报,bào
82,四级,抱,bào
83,高等,豹,bào
84,六级,暴,bào
85,高等,曝,bào
86,六级,爆,bào
87,一级,杯,bēi
88,高等,卑,bēi
89,五级,悲,bēi
90,高等,碑,bēi
91,一级,北,běi
92,四级,贝,bèi
93,高等,狈,bèi
94,一级,备,bèi
95,二级,背,bèi
96,三级,背,bēi
97,四级,倍,bèi
98,三级,被,bèi
99,五级,辈,bèi
100,高等,惫,bèi
101,六级,奔,bēn
102,高等,奔,bèn
103,一级,本,běn
104,四级,笨,bèn
105,高等,崩,bēng
106,高等,绷,bēng
107,高等,蹦,bèng
108,六级,逼,bī
109,五级,鼻,bí
110,一级,比,bǐ
111,五级,彼,bǐ
112,二级,笔,bǐ
113,高等,鄙,bǐ
114,三级,币,bì
115,二级,必,bì
116,四级,毕,bì
117,四级,闭,bì
118,高等,毙,bì
119,高等,痹,bì
120,高等,碧,bì
121,高等,蔽,bì
122,高等,弊,bì
123,五级,壁,bì
124,四级,避,bì
125,高等,臂,bì
126,一级,边,biān
127,四级,编,biān
128,高等,鞭,biān
129,高等,贬,biǎn
130,六级,扁,biǎn
131,二级,变,biàn
132,二级,便,biàn
133,二级,便,pián
134,二级,遍,biàn
135,高等,辨,biàn
136,四级,辩,biàn
137,高等,辫,biàn
138,三级,标,biāo
139,高等,飙,biāo
140,二级,表,biǎo
141,高等,憋,biē
142,一级,别,bié
143,高等,别,biè
144,五级,宾,bīn
145,高等,彬,bīn
146,高等,滨,bīn
147,高等,缤,bīn
148,四级,冰,bīng
149,四级,兵,bīng
150,高等,丙,bǐng
151,高等,秉,bǐng
152,高等,柄,bǐng
153,五级,饼,bǐng
154,三级,并,bìng
155,一级,病,bìng
156,六级,拨,bō
157,六级,波,bō
158,五级,玻,bō
159,高等,剥,bō
160,高等,剥,bāo
161,三级,播,bō
162,高等,伯,bó
163,高等,驳,bó
164,高等,泊,bó
165,高等,勃,bó
166,高等,舶,bó
167,高等,脖,bó
168,五级,博,bó
169,高等,搏,bó
170,高等,膊,bó
171,高等,卜,bo
172,高等,卜,bǔ
173,三级,补,bǔ
174,六级,捕,bǔ
175,高等,哺,bǔ
176,一级,不,bù
177,三级,布,bù
178,三级,步,bù
179,高等,怖,bù
180,二级,部,bù
181,四级,擦,cā
182,五级,猜,cāi
183,二级,才,cái
184,三级,材,cái
185,四级,财,cái
186,五级,裁,cái
187,三级,采,cǎi
188,三级,彩,cǎi
189,高等,睬,cǎi
190,六级,踩,cǎi
191,一级,菜,cài
192,二级,参,cān
193,二级,餐,cān
194,六级,残,cán
195,高等,惭,cán
196,六级,惨,cǎn
197,高等,灿,càn
198,六级,仓,cāng
199,高等,苍,cāng
200,高等,沧,cāng
201,高等,舱,cāng
202,六级,藏,cáng
203,高等,藏,zàng
204,四级,操,cāo
205,高等,糙,cāo
206,高等,曹,cáo
207,高等,槽,cáo
208,二级,草,cǎo
209,五级,册,cè
210,六级,厕,cè
211,六级,侧,cè
212,四级,测,cè
213,六级,策,cè
214,二级,层,céng
215,三级,曾,céng
216,高等,蹭,cèng
217,五级,叉,chā
218,五级,插,chā
219,一级,茶,chá
220,二级,查,chá
221,三级,察,chá
222,高等,岔,chà
223,高等,刹,chà
224,高等,刹,shā
225,高等,诧,chà
226,一级,差,chà
227,五级,差,chā
228,五级,差,chāi
229,五级,拆,chāi
230,五级,柴,chái
231,高等,掺,chān
232,高等,搀,chān
233,高等,馋,chán
234,高等,禅,chán
235,高等,缠,chán
236,三级,产,chǎn
237,高等,铲,chǎn
238,高等,阐,chǎn
239,高等,颤,chàn
240,六级,昌,chāng
241,高等,猖,chāng
242,二级,长,cháng
243,二级,长,zhǎng
244,五级,肠,cháng
245,五级,尝,cháng
246,一级,常,cháng
247,五级,偿,cháng
248,高等,嫦,cháng
249,三级,厂,chǎng
250,一级,场,chǎng
251,高等,敞,chǎng
252,六级,畅,chàng
253,五级,倡,chàng
254,一级,唱,chàng
255,四级,抄,chāo
256,高等,钞,chāo
257,二级,超,chāo
258,高等,巢,cháo
259,三级,朝,cháo
260,高等,朝,zhāo
261,高等,嘲,cháo
262,四级,潮,cháo
263,三级,吵,chǎo
264,六级,炒,chǎo
265,一级,车,chē
266,高等,扯,chě
267,四级,彻,chè
268,六级,撤,chè
269,高等,臣,chén
270,高等,尘,chén
271,高等,辰,chén
272,四级,沉,chén
273,高等,陈,chén
274,二级,晨,chén
275,三级,衬,chèn
276,高等,趁,chèn
277,二级,称,chèn
278,二级,称,chēng
279,六级,撑,chēng
280,二级,成,chéng
281,高等,呈,chéng
282,四级,诚,chéng
283,四级,承,chéng
284,三级,城,chéng
285,五级,乘,chéng
286,三级,程,chéng
287,高等,惩,chéng
288,高等,澄,chéng
289,高等,橙,chéng
290,高等,逞,chěng
291,高等,秤,chèng
292,一级,吃,chī
293,高等,痴,chī
294,五级,池,chí
295,高等,弛,chí
296,高等,驰,chí
297,四级,迟,chí
298,三级,持,chí
299,四级,尺,chǐ
300,高等,齿,chǐ
301,高等,侈,chǐ
302,高等,耻,chǐ
303,高等,斥,chì
304,高等,赤,chì
305,高等,翅,chì
306,四级,冲,chōng
307,六级,冲,chòng
308,三级,充,chōng
309,四级,虫,chóng
310,六级,崇,chóng
311,六级,宠,chǒng
312,四级,抽,chōu
313,高等,仇,chóu
314,高等,绸,chóu
315,高等,畴,chóu
316,高等,酬,chóu
317,高等,稠,chóu
318,五级,愁,chóu
319,高等,筹,chóu
320,五级,丑,chǒu
321,高等,瞅,chǒu
322,五级,臭,chòu
323,一级,出,chū
324,三级,初,chū
325,三级,除,chú
326,五级,厨,chú
327,高等,橱,chú
328,三级,础,chǔ
329,六级,储,chǔ
330,二级,楚,chǔ
331,二级,处,chù
332,三级,处,chǔ
333,高等,畜,chù
334,五级,触,chù
335,高等,揣,chuāi
336,高等,揣,chuǎi
337,高等,踹,chuài
338,高等,川,chuān
339,一级,穿,chuān
340,三级,传,chuán
341,高等,传,zhuàn
342,二级,船,chuán
343,高等,喘,chuǎn
344,六级,串,chuàn
345,四级,窗,chuāng
346,一级,床,chuáng
347,五级,闯,chuǎng
348,三级,创,chuàng
349,高等,创,chuāng
350,二级,吹,chuī
351,高等,炊,chuī
352,高等,垂,chuí
353,高等,捶,chuí
354,高等,锤,chuí
355,二级,春,chūn
356,四级,纯,chún
357,高等,唇,chún
358,高等,醇,chún
359,高等,蠢,chǔn
360,高等,戳,chuō
361,高等,绰,chuò
362,二级,词,cí
363,高等,瓷,cí
364,五级,辞,cí
365,高等,慈,cí
366,高等,磁,cí
367,三级,此,cǐ
368,一级,次,cì
369,四级,刺,cì
370,高等,赐,cì
371,高等,匆,cōng
372,高等,囱,cōng
373,高等,葱,cōng
374,五级,聪,cōng
375,一级,从,cóng
376,高等,丛,cóng
377,高等,凑,còu
378,四级,粗,cū
379,四级,促,cù
380,六级,醋,cù
381,高等,簇,cù
382,高等,窜,cuàn
383,高等,催,cuī
384,高等,摧,cuī
385,五级,脆,cuì
386,高等,粹,cuì
387,高等,翠,cuì
388,三级,村,cūn
389,三级,存,cún
390,四级,寸,cùn
391,高等,搓,cuō
392,高等,磋,cuō
393,高等,挫,cuò
394,四级,措,cuò
395,一级,错,cuò
396,六级,搭,dā
397,三级,达,dá
398,一级,答,dá
399,二级,答,dā
400,一级,打,dǎ
401,四级,打,dá
402,一级,大,dà
403,三级,大,dài
404,五级,呆,dāi
405,高等,歹,dǎi
406,高等,逮,dǎi
407,高等,逮,dài
408,三级,代,dài
409,二级,带,dài
410,五级,贷,dài
411,三级,待,dài
