序号,等次,汉字,拼音
1,一级,爱,ài
2,一级,八,bā
3,一级,爸,bà
4,一级,吧,"ba,bā"
5,一级,白,bái
6,一级,百,bǎi
7,一级,班,bān
8,一级,半,bàn
9,一级,帮,bāng
10,一级,包,bāo
11,一级,杯,bēi
12,一级,北,běi
13,一级,备,bèi
14,一级,本,běn
15,一级,比,bǐ
16,一级,边,biān
17,一级,别,"bié,biè"
18,一级,病,bìng
19,一级,不,bù
20,一级,菜,cài
21,一级,茶,chá
22,一级,差,"chà,chā,chāi"
23,一级,常,cháng
24,一级,场,chǎng
25,一级,唱,chàng
26,一级,车,chē
27,一级,吃,chī
28,一级,出,chū
29,一级,穿,chuān
30,一级,床,chuáng
31,一级,次,cì
32,一级,从,cóng
33,一级,错,cuò
34,一级,答,"dá,dā"
35,一级,打,"dǎ,dá"
36,一级,大,"dà,dài"
37,一级,蛋,dàn
38,一级,到,dào
39,一级,道,dào
40,一级,得,"dé,de,děi"
41,一级,地,"de,dì"
42,一级,的,"de,dì,dí"
43,一级,等,děng
44,一级,弟,dì
45,一级,第,dì
46,一级,点,diǎn
47,一级,电,diàn
48,一级,店,diàn
49,一级,东,dōng
50,一级,动,dòng
51,一级,都,"dōu,dū"
52,一级,读,dú
53,一级,对,duì
54,一级,多,duō
55,一级,饿,è
56,一级,儿,ér
57,一级,二,èr
58,一级,饭,fàn
59,一级,方,fāng
60,一级,房,fáng
61,一级,放,fàng
62,一级,飞,fēi
63,一级,非,fēi
64,一级,分,"fēn,fèn"
65,一级,风,fēng
66,一级,服,fú
67,一级,干,"gān,gàn"
68,一级,高,gāo
69,一级,告,gào
70,一级,哥,gē
71,一级,歌,gē
72,一级,个,gè
73,一级,给,"gěi,jǐ"
74,一级,跟,gēn
75,一级,工,gōng
76,一级,关,guān
77,一级,馆,guǎn
78,一级,贵,guì
79,一级,国,guó
80,一级,果,guǒ
81,一级,过,"guò,guo"
82,一级,还,"hái,huán"
83,一级,孩,hái
84,一级,汉,hàn
85,一级,好,"hǎo,hào"
86,一级,号,hào
87,一级,喝,"hē,hè"
88,一级,和,"hé,huó,hè"
89,一级,很,hěn
90,一级,后,hòu
91,一级,候,hòu
92,一级,花,huā
93,一级,话,huà
94,一级,坏,huài
95,一级,欢,huān
96,一级,回,huí
97,一级,会,"huì,kuài"
98,一级,火,huǒ
99,一级,机,jī
100,一级,鸡,jī
101,一级,几,"jǐ,jī"
102,一级,记,jì
103,一级,家,jiā
104,一级,假,"jià,jiǎ"
105,一级,间,"jiān,jiàn"
106,一级,见,jiàn
107,一级,教,"jiāo,jiào"
108,一级,叫,jiào
109,一级,觉,"jiào,jué"
110,一级,姐,jiě
111,一级,介,jiè
112,一级,今,jīn
113,一级,进,jìn
114,一级,京,jīng
115,一级,净,jìng
116,一级,九,jiǔ
117,一级,就,jiù
118,一级,开,kāi
119,一级,看,"kàn,kān"
120,一级,考,kǎo
121,一级,渴,kě
122,一级,客,kè
123,一级,课,kè
124,一级,口,kǒu
125,一级,块,kuài
126,一级,快,kuài
127,一级,来,lái
128,一级,老,lǎo
129,一级,了,"le,liǎo"
130,一级,累,"lèi,lěi"
131,一级,冷,lěng
132,一级,里,lǐ
133,一级,两,liǎng
134,一级,零,líng
135,一级,六,liù
136,一级,楼,lóu
137,一级,路,lù
138,一级,妈,mā
139,一级,马,mǎ
140,一级,吗,ma
141,一级,买,mǎi
142,一级,慢,màn
143,一级,忙,máng
144,一级,毛,máo
145,一级,么,me
146,一级,没,"méi,mò"
147,一级,妹,mèi
148,一级,门,mén
149,一级,们,men
150,一级,米,mǐ
151,一级,面,miàn
152,一级,名,míng
153,一级,明,míng
154,一级,拿,ná
155,一级,哪,"nǎ,na"
