No.,级别,音节,代表字
1,一级,ài,爱
2,一级,bā,八
3,一级,bà,爸
4,一级,ba,吧
5,一级,bái,白
6,一级,bǎi,百
7,一级,bān,班
8,一级,bàn,半
9,一级,bāng,帮
10,一级,bāo,包
11,一级,bēi,杯
12,一级,běi,北
13,一级,bèi,备
14,一级,běn,本
15,一级,bǐ,比
16,一级,biān,边
17,一级,bié,别
18,一级,bìng,病
19,一级,bù,不
20,一级,cài,菜
21,一级,chá,茶
22,一级,chà,差
23,一级,cháng,常
24,一级,chǎng,场
25,一级,chàng,唱
26,一级,chē,车
27,一级,chī,吃
28,一级,chū,出
29,一级,chuān,穿
30,一级,chuáng,床
31,一级,cì,次
32,一级,cóng,从
33,一级,cuò,错
34,一级,dá,答
35,一级,dǎ,打
36,一级,dà,大
37,一级,dàn,蛋
38,一级,dào,到
39,一级,dé,得
40,一级,de,的
41,一级,děng,等
42,一级,dì,弟
43,一级,diǎn,点
44,一级,diàn,电
45,一级,dōng,东
46,一级,dòng,动
47,一级,dōu,都
48,一级,dú,读
49,一级,duì,对
50,一级,duō,多
51,一级,è,饿
52,一级,ér,儿
53,一级,èr,二
54,一级,fàn,饭
55,一级,fāng,方
56,一级,fáng,房
57,一级,fàng,放
58,一级,fēi,非
59,一级,fēn,分
60,一级,fēng,风
61,一级,fú,服
62,一级,gān,干
63,一级,gàn,干
64,一级,gāo,高
65,一级,gào,告
66,一级,gē,哥
67,一级,gè,个
68,一级,gěi,给
69,一级,gēn,跟
70,一级,gōng,工
71,一级,guān,关
72,一级,guǎn,馆
73,一级,guì,贵
74,一级,guó,国
75,一级,guǒ,果
76,一级,guò,过
77,一级,hái,孩
78,一级,hàn,汉
79,一级,hǎo,好
80,一级,hào,号
81,一级,hē,喝
82,一级,hé,和
83,一级,hěn,很
84,一级,hòu,后
85,一级,huā,花
86,一级,huà,话
87,一级,huài,坏
88,一级,huān,欢
89,一级,huán,还
90,一级,huí,回
91,一级,huì,会
92,一级,huǒ,火
93,一级,jī,机
94,一级,jǐ,几
95,一级,jì,记
96,一级,jiā,家
97,一级,jià,假
98,一级,jiān,间
99,一级,jiàn,见
100,一级,jiāo,教
101,一级,jiào,叫
102,一级,jiě,姐
103,一级,jiè,介
104,一级,jīn,今
105,一级,jìn,进
106,一级,jīng,京
107,一级,jìng,净
108,一级,jiǔ,九
109,一级,jiù,就
110,一级,jué,觉
111,一级,kāi,开
112,一级,kàn,看
113,一级,kǎo,考
114,一级,kě,渴
115,一级,kè,课
116,一级,kǒu,口
117,一级,kuài,快
118,一级,lái,来
119,一级,lǎo,老
120,一级,le,了
121,一级,lèi,累
122,一级,lěng,冷
123,一级,lǐ,里
124,一级,liǎng,两
125,一级,líng,零
126,一级,liù,六
127,一级,lóu,楼
128,一级,lù,路
129,一级,mā,妈
130,一级,mǎ,马
131,一级,ma,吗
132,一级,mǎi,买
133,一级,màn,慢
134,一级,máng,忙
135,一级,máo,毛
136,一级,me,么
137,一级,méi,没
138,一级,mèi,妹
139,一级,mén,门
140,一级,men,们
141,一级,mǐ,米
142,一级,miàn,面
143,一级,míng,名
144,一级,ná,拿
145,一级,nǎ,哪
146,一级,nà,那
147,一级,nǎi,奶
148,一级,nán,男
149,一级,nǎo,脑
150,一级,ne,呢
151,一级,néng,能
152,一级,nǐ,你
153,一级,nián,年
154,一级,nín,您
155,一级,niú,牛
156,一级,nǚ,女
157,一级,páng,旁
158,一级,pǎo,跑
159,一级,péng,朋
160,一级,piào,票
161,一级,qī,七
162,一级,qǐ,起
163,一级,qì,气
164,一级,qián,前
165,一级,qǐng,请
166,一级,qiú,球
167,一级,qù,去
168,一级,rè,热
169,一级,rén,人
170,一级,rèn,认
171,一级,rì,日
172,一级,ròu,肉
173,一级,sān,三
174,一级,shān,山
175,一级,shāng,商
176,一级,shàng,上
177,一级,shǎo,少
178,一级,shào,绍
179,一级,shéi,谁
180,一级,shēn,身
181,一级,shén,什
182,一级,shēng,生
183,一级,shī,师
184,一级,shí,十
185,一级,shì,是
186,一级,shǒu,手
187,一级,shū,书
188,一级,shù,树
189,一级,shuí,谁
190,一级,shuǐ,水
191,一级,shuì,睡
192,一级,shuō,说
193,一级,sì,四
194,一级,sòng,送
195,一级,sù,诉
196,一级,suì,岁
197,一级,tā,他
198,一级,tài,太
199,一级,tǐ,体
